id,value
aaa,aaa
aarp,aarp
abb,abb
abbott,abbott
abogado,abogado
ac,ac
academy,academy
accenture,accenture
accountant,accountant
accountants,accountants
aco,aco
active,active
actor,actor
ad,ad
ads,ads
adult,adult
ae,ae
aeg,aeg
aero,aero
af,af
afl,afl
ag,ag
agency,agency
ai,ai
aig,aig
airforce,airforce
airtel,airtel
al,al
alibaba,alibaba
alipay,alipay
allfinanz,allfinanz
alsace,alsace
am,am
amica,amica
amsterdam,amsterdam
analytics,analytics
android,android
ao,ao
apartments,apartments
app,app
apple,apple
aq,aq
aquarelle,aquarelle
ar,ar
aramco,aramco
archi,archi
army,army
arpa,arpa
arte,arte
as,as
asia,asia
associates,associates
at,at
attorney,attorney
au,au
auction,auction
audi,audi
audio,audio
author,author
auto,auto
autos,autos
aw,aw
ax,ax
axa,axa
az,az
azure,azure
ba,ba
baidu,baidu
band,band
bank,bank
bar,bar
barcelona,barcelona
barclaycard,barclaycard
barclays,barclays
bargains,bargains
bauhaus,bauhaus
bayern,bayern
bb,bb
bbc,bbc
bbva,bbva
bcn,bcn
bd,bd
be,be
beats,beats
beer,beer
bentley,bentley
berlin,berlin
best,best
bet,bet
bf,bf
bg,bg
bh,bh
bharti,bharti
bi,bi
bible,bible
bid,bid
bike,bike
bing,bing
bingo,bingo
bio,bio
biz,biz
bj,bj
black,black
blackfriday,blackfriday
bloomberg,bloomberg
blue,blue
bm,bm
bms,bms
bmw,bmw
bn,bn
bnl,bnl
bnpparibas,bnpparibas
bo,bo
boats,boats
boehringer,boehringer
bom,bom
bond,bond
boo,boo
book,book
boots,boots
bosch,bosch
bostik,bostik
bot,bot
boutique,boutique
br,br
bradesco,bradesco
bridgestone,bridgestone
broadway,broadway
broker,broker
brother,brother
brussels,brussels
bs,bs
bt,bt
budapest,budapest
bugatti,bugatti
build,build
builders,builders
business,business
buy,buy
buzz,buzz
bv,bv
bw,bw
by,by
bz,bz
bzh,bzh
ca,ca
cab,cab
cafe,cafe
cal,cal
call,call
camera,camera
camp,camp
cancerresearch,cancerresearch
canon,canon
capetown,capetown
capital,capital
car,car
caravan,caravan
cards,cards
care,care
career,career
careers,careers
cars,cars
cartier,cartier
casa,casa
cash,cash
casino,casino
cat,cat
catering,catering
cba,cba
cbn,cbn
cc,cc
cd,cd
ceb,ceb
center,center
ceo,ceo
cern,cern
cf,cf
cfa,cfa
cfd,cfd
cg,cg
ch,ch
chanel,chanel
channel,channel
chat,chat
cheap,cheap
chloe,chloe
christmas,christmas
chrome,chrome
church,church
ci,ci
cipriani,cipriani
circle,circle
cisco,cisco
citic,citic
city,city
cityeats,cityeats
ck,ck
cl,cl
claims,claims
cleaning,cleaning
click,click
clinic,clinic
clinique,clinique
clothing,clothing
cloud,cloud
club,club
clubmed,clubmed
cm,cm
cn,cn
co,co
coach,coach
codes,codes
coffee,coffee
college,college
cologne,cologne
com,com
commbank,commbank
community,community
company,company
compare,compare
computer,computer
comsec,comsec
condos,condos
construction,construction
consulting,consulting
contact,contact
contractors,contractors
cooking,cooking
cool,cool
coop,coop
corsica,corsica
country,country
coupons,coupons
courses,courses
cr,cr
credit,credit
creditcard,creditcard
creditunion,creditunion
cricket,cricket
crown,crown
crs,crs
cruises,cruises
csc,csc
cu,cu
cuisinella,cuisinella
cv,cv
cw,cw
cx,cx
cy,cy
cymru,cymru
cyou,cyou
cz,cz
dabur,dabur
dad,dad
dance,dance
date,date
dating,dating
datsun,datsun
day,day
dclk,dclk
de,de
dealer,dealer
deals,deals
degree,degree
delivery,delivery
dell,dell
delta,delta
democrat,democrat
dental,dental
dentist,dentist
desi,desi
design,design
dev,dev
diamonds,diamonds
diet,diet
digital,digital
direct,direct
directory,directory
discount,discount
dj,dj
dk,dk
dm,dm
dnp,dnp
do,do
docs,docs
dog,dog
doha,doha
domains,domains
doosan,doosan
download,download
drive,drive
dubai,dubai
durban,durban
dvag,dvag
dz,dz
earth,earth
eat,eat
ec,ec
edu,edu
education,education
ee,ee
eg,eg
email,email
emerck,emerck
energy,energy
engineer,engineer
engineering,engineering
enterprises,enterprises
epson,epson
equipment,equipment
er,er
erni,erni
es,es
esq,esq
estate,estate
et,et
eu,eu
eurovision,eurovision
eus,eus
events,events
everbank,everbank
exchange,exchange
expert,expert
exposed,exposed
express,express
fage,fage
fail,fail
fairwinds,fairwinds
faith,faith
family,family
fan,fan
fans,fans
farm,farm
fashion,fashion
fast,fast
feedback,feedback
ferrero,ferrero
fi,fi
film,film
final,final
finance,finance
financial,financial
firestone,firestone
firmdale,firmdale
fish,fish
fishing,fishing
fit,fit
fitness,fitness
fj,fj
fk,fk
flights,flights
florist,florist
flowers,flowers
flsmidth,flsmidth
fly,fly
fm,fm
fo,fo
foo,foo
football,football
ford,ford
forex,forex
forsale,forsale
forum,forum
foundation,foundation
fox,fox
fr,fr
fresenius,fresenius
frl,frl
frogans,frogans
fund,fund
furniture,furniture
futbol,futbol
fyi,fyi
ga,ga
gal,gal
gallery,gallery
game,game
garden,garden
gb,gb
gbiz,gbiz
gd,gd
gdn,gdn
ge,ge
gea,gea
gent,gent
genting,genting
gf,gf
gg,gg
ggee,ggee
gh,gh
gi,gi
gift,gift
gifts,gifts
gives,gives
giving,giving
gl,gl
glass,glass
gle,gle
global,global
globo,globo
gm,gm
gmail,gmail
gmo,gmo
gmx,gmx
gn,gn
gold,gold
goldpoint,goldpoint
golf,golf
goo,goo
goog,goog
google,google
gop,gop
got,got
gov,gov
gp,gp
gq,gq
gr,gr
grainger,grainger
graphics,graphics
gratis,gratis
green,green
gripe,gripe
group,group
gs,gs
gt,gt
gu,gu
gucci,gucci
guge,guge
guide,guide
guitars,guitars
guru,guru
gw,gw
gy,gy
hamburg,hamburg
hangout,hangout
haus,haus
